organisms,counts
Arthrobacter frigidicola,2
Streptomyces sp. SID5476,3
Microbacterium sp. SS28,3
Streptomyces monashensis,2
Cellulomonas carbonis,2
Arsenicicoccus dermatophilus,2
Amycolatopsis sp. DSM 110486,4
Williamsia sp.,2
Glutamicibacter ardleyensis,2
Leifsonia flava,2
Nesterenkonia sp. AN1,3
Actinoplanes nipponensis,2
Mycolicibacterium septicum,2
Tersicoccus solisilvae,2
Agromyces sp. S2-1-8,3
Auritidibacter sp. NML130574,3
Arsenicicoccus sp.,2
Actinotalea ferrariae CF5-4,3
Nocardioides eburneiflavus,2
Prauserella rugosa,2
Cryobacterium sp. TMT1-1,3
Corynebacterium amycolatum,2
Nocardiopsis xinjiangensis,2
Streptomyces sp. CB04723,3
Streptomyces puniciscabiei,2
Microbacterium sp. ZXX196,3
Streptomyces agglomeratus,2
Agromyces sp. H66,3
Nocardia sp. alder85J,3
Trueperella sp.,2
Gordonia sp. HY442,3
Corynebacterium pseudokroppenstedtii,2
Nonomuraea phyllanthi,2
Kocuria sp. KD4,3
Cutibacterium sp. SC8-2W,3
Actinomyces oris K20,3
Streptomyces sp. LaPpAH-108,3
Streptomyces apocyni,2
Corynebacterium comes,2
Streptomyces lydicus,2
Marmoricola ginsengisoli,2
Streptomyces sp. SMS_SU21,3
Curtobacterium luteum,2
Actinophytocola xinjiangensis,2
Frankia alni ACN14a,3
Saccharothrix violaceirubra,2
Nocardioides sp. Soil777,3
Actinokineospora xionganensis,2
Actinomyces haliotis,2
Amycolatopsis oliviviridis,2
Frigoribacterium sp. PhB160,3
Streptomyces kanamyceticus,2
Corynebacterium durum,2
Geodermatophilus pulveris,2
Actinomadura syzygii,2
Schaalia cardiffensis,2
Micromonospora sp. DH13,3
Streptomyces poriferorum,2
Amycolatopsis jejuensis,2
Streptomyces yatensis,2
Agromyces sp. LHK192,3
Corynebacterium belfantii,2
Nocardiopsis baichengensis,2
Kitasatospora acidiphila,2
Streptomyces sp. MBT84,3
Streptomyces albidoflavus,2
Scardovia inopinata,2
Candidatus Frankia californiensis,3
Streptomyces sp. SID2888,3
Nocardiaceae bacterium,2
Acidothermus sp.,2
Okibacterium sp. HSC-33S16,3
Arthrobacter sp. JUb119,3
Bifidobacterium aerophilum,2
Streptomyces europaeiscabiei,2
Frankiales bacterium,2
Actinoplanes rectilineatus,2
Streptomyces sp. RK62,3
Williamsia muralis,2
Mycobacterium sp. DL592,3
Nocardioides ungokensis,2
Nonomuraea sp. K271,3
Streptomyces sp. ZS0098,3
Mycobacterium sp. 1164966.3,3
Arthrobacter sp. 260,3
Streptomyces sp. SID12501,3
Curtobacterium sp. MCBA15_005,3
Rhodococcus sp. 1R11,3
Terracoccus sp. 273MFTsu3.1,3
Streptomyces sp. S6,3
Planomonospora sp. ID91781,3
Pseudactinotalea suaedae,2
Actinoplanes sp. OR16,3
Streptomyces amritsarensis,2
Streptomyces caniscabiei,2
Homoserinimonas sp.,2
Actinomadura craniellae,2
Gordonia aichiensis,2
Intrasporangiaceae bacterium,2
Leucobacter tardus,2
Streptomyces sp. C,3
Streptomyces bambusae,2
Micromonospora sp. Llam0,3
Catellatospora sp. TT07R-123,3
Actinobaculum suis,2
Catellatospora sichuanensis,2
Mycobacterium tuberculosis,2
Cutibacterium granulosum,2
Microbacterium sp. MAH-37,3
Actinomycetales bacterium mxb001,3
Pseudarthrobacter albicanus,2
Streptomyces sp. TRM49041,3
Streptomyces brevispora,2
Streptomyces eurocidicus,2
Corynebacterium aquilae,2
Streptomyces sp. MNP-20,3
Microbacterium sp. CFH 90308,4
Mycolicibacter algericus DSM 45454,4
Rothia sp. HMSC062H08,3
Streptomyces davaonensis,2
Actinomycetospora chiangmaiensis,2
Rhodococcus gordoniae,2
Streptomyces sp. CB03911,3
Mycobacterium montefiorense,2
Microbacterium sp. 14-71-5,3
Streptomyces actuosus,2
Cellulomonas sp. KH9,3
Asanoa hainanensis,2
Tetrasphaera australiensis,2
Rathayibacter sp. VKM Ac-2760,4
Gordonia hydrophobica,2
Pseudonocardia broussonetiae,2
Streptomyces liliifuscus,2
Streptomyces sp. San01,3
Streptomyces lavendofoliae,2
Streptomyces jeddahensis,2
Microtetraspora fusca,2
Streptomyces sp. Ru87,3
Cutibacterium modestum P08,3
Humibacillus sp. DSM 29435,4
Streptomyces triticagri,2
Kineococcus rubinsiae,2
Gordonia namibiensis,2
Glycomyces xiaoerkulensis,2
Bifidobacterium longum subsp. infantis,4
Nocardia terpenica,2
Streptomyces sp. FXJ7.023,3
Brachybacterium sp. UMB0905,3
Pseudonocardiaceae bacterium,2
Nocardioides sp. WL0053,3
Corynebacterium sp. HMSC061H03,3
Varibaculum cambriense DORA_20,3
uncultured Actinomycetospora sp.,3
Kitasatospora sp. SUK 42,4
Cellulomonas sp. Root137,3
Streptomyces sp. C10-9-1,3
Streptomyces sp. SMC 277,4
Mycolicibacterium fortuitum,2
Bailinhaonella thermotolerans,2
Frankia coriariae,2
Streptomyces cinnamoneus,2
Mycobacterium lepromatosis,2
Corynebacterium urealyticum,2
Kocuria sp. WRN011,3
Propioniciclava coleopterorum,2
Pseudonocardia sp. C8,3
Streptomyces sp. LBUM 1476,4
Cryobacterium sp. TMS1-20-1,3
Ruania alkalisoli,2
Streptomyces sp. JJ38,3
Arthrobacter sp. ISL-5,3
Pseudonocardia hydrocarbonoxydans,2
Actinomyces urogenitalis,2
Microbacterium hominis,2
Micropruina glycogenica,2
Streptomyces sp. DvalAA-19,3
Bifidobacterium dentium JCVIHMP022,3
Mycobacterium shinjukuense,2
Streptomyces sp. WAC 05379,4
Streptomyces sp. BH-MK-02,3
Streptomyces marianii,2
Microbispora sp.,2
Streptomyces sp. MNU89,3
Micromonospora sp. RP3T,3
Bifidobacterium subtile,2
Yonghaparkia sp. GA224,3
Arthrobacter sp. ZGTC131,3
Streptomyces sp. IGB124,3
Streptomyces sp. ok210,3
Myceligenerans indicum,2
Bifidobacterium stercoris JCM 15918,4
Streptomyces sp. TSRI0281,3
Nocardia gamkensis,2
Bifidobacterium thermacidophilum,2
Nakamurella sp. YIM 132087,4
Streptomyces sp. ISL-66,3
Actinoplanes ferrugineus,2
Marmoricola sp. Leaf446,3
Stackebrandtia endophytica,2
Streptomyces radiopugnans,2
Rathayibacter sp. VKM Ac-2804,4
Mycobacterium sp. ELW1,3
Actinokineospora enzanensis,2
Streptomyces avicenniae,2
Streptomyces erythrochromogenes,2
Nonomuraea rubra,2
Saccharopolyspora antimicrobica,2
Corynebacterium gallinarum,2
Kutzneria sp. 744,3
Arthrobacter sp. B0490,3
Micromonospora sp. BL1,3
Lentzea californiensis,2
Quadrisphaera sp. INWT6,3
Galactobacter valiniphilus,2
Streptomyces sp. XHT-2,3
Microbacterium sp. AG790,3
Streptomyces sp. gCLA4,3
Streptomyces aureoverticillatus,2
Micromonospora trujilloniae,2
Marmoricola pocheonensis,2
Streptomyces sp. CB02959,3
unclassified Aeromicrobium,2
Streptomyces sedi,2
Cryobacterium sp. M23,3
Dermatophilaceae bacterium,2
Brevibacterium sp. CT2-23B,3
Actinoalloteichus cyanogriseus,2
unclassified Herbiconiux,2
Georgenia yuyongxinii,2
Corynebacterium casei,2
Microbacterium sp. No. 7,4
Kocuria salina,2
Streptosporangiales bacterium,2
Microbacterium sp. W1N,3
Agrococcus sp. Marseille-P2731,3
Streptomyces sp. 5-10,3
Nocardiopsis sp. CNR-923,3
Micromonospora sp. PLK6-60,3
Streptomyces sp. NRRL F-5527,4
Streptomyces durhamensis,2
Terrimesophilobacter mesophilus,2
Mycolicibacterium conceptionense,2
Pseudoclavibacter sp. Z016,3
Frigoribacterium sp. Leaf186,3
Microbispora sp. GMKU363,3
Intrasporangium chromatireducens,2
Streptomyces sp. cf386,3
Saccharothrix algeriensis,2
Microbacterium lushaniae,2
Streptomyces broussonetiae,2
Mycobacterium stomatepiae,2
Streptomyces sp. NBC00162,3
Actinomycetaceae bacterium TAE3-ERU4,3
Nocardioides sp. MC1495,3
Streptomyces sp. SID4919,3
Leucobacter muris,2
Curtobacterium oceanosedimentum,2
Janibacter hoylei,2
Actinomadura atramentaria,2
Kitasatospora viridis,2
Cellulomonas sp. 73-145,3
Terrabacter sp. Ter38,3
Mycobacterium avium 11-0986,3
Micromonospora sp. HM5-17,3
Nocardiopsis sp. HDS12,3
Cellulomonas sp. 14-74-6,3
Mycobacterium shigaense,2
Klugiella xanthotipulae,2
Nocardioides luteus,2
Streptomyces inusitatus,2
Microbispora cellulosiformans,2
[Mycobacterium] stephanolepidis,2
Frankia sp. CcI6,3
Saccharothrix variisporea,2
Antrihabitans stalagmiti,2
Longispora fulva,2
Corynebacterium sp. p3-SID1194,3
Microbacterium rhizomatis,2
Micromonospora sp. AMSO31t,3
Actinomyces sp. oral taxon 180,5
Streptomyces sp. NRRL F-2799,4
Frankia sp. ACN1ag,3
Streptomyces sp. HCCB10043,3
Glutamicibacter mishrai,2
Streptomyces sp. MJM8645,3
Williamsia limnetica,2
Agromyces sp. Marseille-P2726,3
Rhodoglobus vestalii,2
Mycobacterium numidiamassiliense,2
Kytococcus sedentarius,2
Streptacidiphilus anmyonensis,2
Mycobacterium conspicuum,2
Microbacterium sp. cf332,3
Propioniciclava soli,2
Curtobacterium sp. MCBD17_032,3
Aeromicrobium sp. zg.Y50,3
Aeromicrobium massiliense,2
Arthrobacter sp. Hiyo6,3
Streptomyces sp. WAC04114,3
Plantibacter cousiniae,2
Nocardioides astragali,2
Streptomyces sp. XY593,3
Nocardia nova SH22a,3
Streptomyces vietnamensis,2
Mycobacterium sp. IS-1496,3
Gleimia coleocanis,2
Actinomycetales bacterium JB111,3
Rhodococcus trifolii,2
Streptomyces sp. TLI_053,3
Streptomyces sp. REN17,3
Parenemella sanctibonifatiensis,2
Clavibacter michiganensis,2
Streptomyces sp. FR-008,3
Ruania suaedae,2
Microbacterium sp. PF5,3
Cryobacterium sp. Hz16,3
Saccharomonospora azurea,2
Streptomyces sp. NRRL S-444,4
Streptomyces sp. GS7,3
Streptacidiphilus jeojiense,2
Catelliglobosispora koreensis,2
Nocardia camponoti,2
Bifidobacterium scaligerum,2
Pimelobacter simplex,2
Agromyces badenianii,2
Arthrobacter sp. Bi26,3
Arthrobacter sp. Helios,3
Kocuria sp. JC486,3
Microbacterium sp. EST19A,3
Nocardiopsis gilva,2
Bifidobacteriaceae bacterium VN003,3
Micrococcus yunnanensis,2
Streptomyces sp. NBRC 109436,4
Actinomadura spongiicola,2
Microbacterium suaedae,2
Nocardia colli,2
Mycobacterium angelicum,2
Dermabacteraceae bacterium TAE3-ERU5,3
Nocardioides sp. J54,3
Rhodococcus sp. 05-2254-6,3
Micromonospora sp. MSM11,3
Curtobacterium ammoniigenes,2
Streptomyces albus,2
Actinomyces sp. zg328,3
Actinomadura sp. 6K520,3
Corynebacterium appendicis,2
Streptomyces sp. A012304,3
Arthrobacter sp. H20,3
Nocardioides coralli,2
Streptomyces asoensis,2
Corynebacterium deserti,2
Curtobacterium sp. MCSS17_015,3
Streptomyces sp. SID8377,3
Streptomyces sp. SID5910,3
Frigoribacterium faeni,2
Mycolicibacterium aromaticivorans JS19b1 = JCM 16368,6
Streptomyces glaucescens,2
Actinomadura macra,2
Cellulomonas pakistanensis,2
Leucobacter komagatae,2
Curtobacterium sp. Csp2,3
Agromyces bauzanensis,2
Corynebacterium efficiens,2
Actinopolyspora mzabensis,2
Dermacoccus barathri,2
Catenulispora rubra,2
Streptomyces griseolus,2
Pseudoclavibacter sp. JAI123,3
Plantibacter sp. VKM Ac-1784,4
Bifidobacterium bifidum S17,3
Streptomyces spiralis,2
Nocardioides sp. dk884,3
Streptomyces oryziradicis,2
Rothia sp. HMSC069C03,3
Streptomyces subrutilus,2
Streptomyces roseolus,2
Cellulomonas humilata,2
Leifsonia sp. C5G2,3
Mycobacterium sp. BK086,3
Gordonia sp. BP-119,3
Nocardioides sp. HDW12B,3
Actinokineospora diospyrosa,2
Nocardia albiluteola,2
Streptomyces sp. 9-7,3
Antribacter gilvus,2
Gephyromycinifex aptenodytis,2
Streptomyces globosus,2
Streptomyces filipinensis,2
Mycobacterium sp. 852002-51961_SCH5331710,3
Streptomyces albiflaviniger,2
Microbacterium luticocti,2
Curtobacterium sp. TC1,3
Amycolatopsis echigonensis,2
Occultella aeris,2
Saccharopolyspora flava,2
Streptomyces sp. XM83C,3
Curtobacterium sp. VKM Ac-2852,4
Microbacterium halophytorum,2
Mycetocola manganoxydans,2
Actinomadura sp. OS3-89,3
Streptomyces libani subsp. libani,4
Pseudonocardia antarctica,2
Cryobacterium sp. MLB-32,3
Nocardioides daphniae,2
Kitasatospora aureofaciens,2
Amycolatopsis acididurans,2
Cryobacterium sp. MDB2-B,3
Streptomyces sp. L2,3
Herbihabitans rhizosphaerae,2
Streptomyces oryzae,2
Gordonia sp. v-85,3
Mycobacterium lepraemurium,2
Rathayibacter sp. VKM Ac-2630,4
Rothia sp. HMSC058E10,3
Pseudoclavibacter sp. AY1F1,3
Oerskovia douganii,2
Rhodococcus sp. B7740,3
Bifidobacterium longum NCC2705,3
Streptomyces ipomoeae,2
Streptomyces sp. DR3-1,3
Demequina rhizosphaerae,2
Nocardia testacea,2
Streptomyces pilosus,2
Streptomyces lusitanus,2
Mycobacteroides abscessus MAB_030201_1061,3
Homoserinimonas aerilata,2
Nocardia concava,2
Streptomyces sp. SS52,3
Micromonospora ureilytica,2
Corynebacterium tuberculostearicum,2
uncultured Arthrobacter sp.,3
Actinomadura catellatispora,2
Gandjariella thermophila,2
Actinomyces provencensis,2
Jiangella aurantiaca,2
Streptomyces laculatispora,2
Hoyosella subflava,2
Micromonospora sp. 4G55,3
Rhodococcus oryzae,2
Mycobacterium gallinarum,2
Streptomyces cellulosae,2
Leucobacter denitrificans,2
Microbacterium sp. UFMG61,3
Clavibacter californiensis,2
Micromonospora phaseoli,2
Actinomycetospora sp. TBRC 11914,4
Arcanobacterium phocisimile,2
Streptomyces montanisoli,2
Streptomyces typhae,2
Nocardioides jishulii,2
Xylanimonas allomyrinae,2
Mycobacterium sp. GA-1199,3
Mycolicibacterium vaccae,2
Propionibacterium sp. KPL1844,3
Pseudonocardia autotrophica,2
Streptomyces fulvoviolaceus,2
Rhodococcus sp. 1168,3
Cellulomonas sp. JH27-2,3
Mycolicibacterium sp. GF69,3
Dermabacter sp. HMSC06F07,3
Curtobacterium sp. JUb34,3
Nonomuraea indica,2
Amycolatopsis panacis,2
Streptomyces chattanoogensis,2
Brevibacterium epidermidis,2
Nocardia rhizosphaerihabitans,2
Streptomyces acididurans,2
Frigoribacterium sp. PvP121,3
Bifidobacteriaceae bacterium N170,3
Streptomyces matensis,2
Acidothermus cellulolyticus,2
Cellulosimicrobium funkei,2
Corynebacterium sp. 13CS0277,3
Rhodococcus sp. PAMC28705,3
Streptomyces rimosus,2
Rhodococcus sp. PBTS 1,4
Actinomyces urogenitalis DORA_12,3
Mycobacterium avium subsp. avium 2285 (R),6
Microbacterium album,2
Aeromicrobium sp. Root495,3
Streptomyces sp. SBST2-5,3
Streptomyces sp. NK08204,3
Micromonospora nigra,2
Lentzea terrae,2
Saccharomonospora iraqiensis,2
Actinomycetospora succinea,2
Nocardioides sp. BSK12Z-4,3
Arthrobacter glacialis,2
Streptomyces violascens,2
Bifidobacterium eulemuris,2
Streptomyces sp. SID8014,3
Corynebacterium diphtheriae,2
Microlunatus kandeliicorticis,2
Streptomyces olivaceus,2
Streptomyces sp. N2-109,3
Mycetocola miduiensis,2
Thermobifida sp.,2
Streptomyces sp. WM6372,3
Streptomyces sp. NBRC 109706,4
Micrococcales bacterium 73-13,3
Actinomyces sp. ZJ308,3
Streptomyces sp. AC495_CC817,3
Mycobacterium sp. djl-10,3
Mycobacteroides abscessus subsp. bolletii,4
Microbacterium sp. LEMMJ01,3
unclassified Frankia,2
Cutibacterium acnes TypeIA2 P.acn31,4
Actinomyces sp. zg296,3
Gordonia sp. IITR100,3
Streptomyces sp. NRRL B-1347,4
Streptomyces phyllanthi,2
Streptomyces sp. NRRL S-337,4
Nocardioides sp. Soil797,3
Aldersonia kunmingensis,2
Microbacterium sp. kSW2-24,3
Bifidobacterium callitrichidarum,2
Micromonospora craterilacus,2
Propionimicrobium sp. BV2F7,3
Streptomyces rapamycinicus,2
Nesterenkonia haasae,2
Pseudonocardia oroxyli,2
Planosporangium thailandense,2
Nonomuraea pusilla,2
Streptomyces turgidiscabies,2
Microlunatus sp.,2
Mycetocola sp. JXN-3,3
Nonomuraea sp. H16431,3
Alloscardovia omnicolens,2
Nesterenkonia alba,2
Isoptericola sp. S6320L,3
Frankia symbiont of Coriaria ruscifolia,5
Streptomyces sp. CBMA291,3
Streptomyces gilvosporeus,2
Dietzia sp. DQ11-71,3
Leucobacter weissii,2
Nonomuraea sp. SBT364,3
Bifidobacterium pseudolongum subsp. pseudolongum,4
Mycobacterium riyadhense,2
Nocardioides currus,2
Streptomyces sp. e14,3
Rathayibacter sp. Leaf299,3
Streptomyces sp. M41(2017),3
Demequina sp. NBRC 110055,4
Actinomyces sp. S4-C9,3
Leifsonia poae,2
Streptomyces murinus,2
Mycobacterium bourgelatii,2
Brachybacterium sp. JB7,3
Curtobacterium sp. MCBA15_004,3
Herbiconiux sp. L3-i23,3
unclassified Oerskovia,2
Kocuria subflava,2
Nocardioides lijunqiniae,2
Corynebacterium sp. B5-R-101,3
Streptomyces omiyaensis,2
Streptomyces montanus,2
Tessaracoccus sp. MC1679,3
Nonomuraea muscovyensis,2
Nocardia fusca,2
Streptomyces tanashiensis,2
Streptomyces sp. SID5926,3
Streptomyces barringtoniae,2
Mycobacterium palustre,2
Microbacterium aoyamense,2
Bifidobacterium dentium,2
Micrococcales bacterium 32-70-13,3
Streptomyces griseicoloratus,2
Pseudarthrobacter sp. HLT3-5,3
Streptomyces sp. RPA4-2,3
Corynebacterium sp. p3-SID1241,3
Arthrobacter koreensis,2
Actinotalea solisilvae,2
Thermoactinospora rubra,2
Mycobacterium sp. MS1601,3
Streptomyces sp. NE5-10,3
Rhodococcus sp. WMMA185,3
Cellulomonas soli,2
Actinotalea fermentans,2
Brachybacterium fresconis,2
Streptomyces triticiradicis,2
Microbacterium mangrovi,2
Kocuria sp. TGY1127_2,3
Pseudoclavibacter sp. RFBI5,3
Streptosporangium album,2
Streptomyces sp. HP-A2021,3
Corynebacterium ammoniagenes,2
Dermabacter sp. HSID17554,3
Streptomyces paludis,2
Streptomyces umbrinus,2
Cryptosporangium arvum,2
Saccharopolyspora dendranthemae,2
Nocardia niigatensis,2
Nocardioides houyundeii,2
Mycobacterium lacus,2
Micromonospora sp. KC723,3
Saccharothrix sp. S26,3
Streptomyces sp. SID5614,3
Nocardia brasiliensis ATCC 700358,4
Streptomyces rubellomurinus subsp. indigoferus,4
Brevibacterium jeotgali,2
Rhodococcus sp. 14-2496-1d,3
Streptomyces sp.,2
Streptomyces sp. NEAU-Y11,3
Streptomyces sp. HSG2,3
Cryobacterium sp. SO1,3
Nocardioides halotolerans,2
Streptomyces bottropensis,2
Streptomyces sp. SolWspMP-5a-2,3
Pedococcus dokdonensis,2
Streptomyces hiroshimensis,2
Micromonospora wenchangensis,2
Demequina gelatinilytica,2
uncultured Microbacterium sp.,3
Flavimobilis marinus,2
Salinispora tropica,2
Mycolicibacterium fluoranthenivorans,2
Actinopolyspora erythraea,2
Kitasatospora xanthocidica,2
Streptomyces sp. TRM64462,3
Kribbella antibiotica,2
Janibacter alkaliphilus,2
Bifidobacterium santillanense,2
Micromonospora carbonacea,2
Blastococcus sp. CCUG 61487,4
Actinomyces sp. HPA0247,3
Microbacterium sp. Root180,3
Rhodococcus sp. IEGM 248,4
Streptomyces atratus,2
Flavimobilis soli,2
Mycolicibacter acidiphilus,2
Acrocarpospora pleiomorpha,2
Rhodococcus sp. OK519,3
Agrococcus sp. SCSIO52902,3
Streptomyces sp. STR69,3
Williamsia sp. 1135,3
Lawsonella clevelandensis,2
Micromonospora zingiberis,2
Lapillicoccus jejuensis,2
Streptomyces sp. SCUT-3,3
Streptomyces sp. 303MFCol5.2,3
Corynebacterium otitidis,2
Streptomyces sp. tea 10,4
Amycolatopsis cihanbeyliensis,2
Curtobacterium sp. 24E2,3
Tessaracoccus sp. ZS01,3
Frankia sp. Cj3,3
Nocardioides iriomotensis,2
Lentzea aerocolonigenes,2
Trueperella pecoris,2
Bifidobacterium asteroides,2
Micromonospora rubida,2
Pseudonocardia thermophila,2
Micromonospora purpureochromogenes,2
Actinomyces wuliandei,2
Actinomyces israelii,2
Bifidobacterium dentium JCM 1195 = DSM 20436,7
Mycolicibacterium tusciae,2
Cryptosporangium arvum DSM 44712,4
Tessaracoccus sp. MC1756,3
Homoserinibacter sp. GY 40078,4
Gordonia amarae,2
Micromonospora sp. KC207,3
Nesterenkonia massiliensis,2
Streptomyces sp. F001,3
Aeromicrobium sp. zg-Y869,3
Plantactinospora sp. BC1,3
Mycobacterium kansasii 824,3
Tetrasphaera japonica,2
Nocardioides sambongensis,2
Modestobacter altitudinis,2
Solihabitans fulvus,2
Bifidobacterium choloepi,2
Rhodococcus sp. IC4_135,3
Pseudoclavibacter sp. Marseille-Q4354,3
Rhodococcus sp. P27,3
Arthrobacter sp. SLBN-112,3
Phycicoccus sp.,2
unclassified Bifidobacterium,2
Actinomyces sp. HMSC075C01,3
Microbacterium sp. SA39,3
Arthrobacter sp. DWC3,3
Frankia asymbiotica,2
Sanguibacter keddieii,2
Cellulomonas sp. Y8,3
Corynebacterium pseudogenitalium,2
Actinomyces sp. HMT 175,4
Arthrobacter sp. I3,3
Mycobacterium avium 09-5983,3
Kutzneria sp.,2
Actinomadura sp. 7K507,3
Brachybacterium tyrofermentans,2
Streptomyces sp. Ag109_O5-1,3
Nocardia coffeae,2
Dietzia sp. SLG510A3-30A2,3
Nonomuraea cavernae,2
Frigoribacterium sp. 9N,3
Brevibacterium mcbrellneri,2
Corynebacterium humireducens,2
Lentzea cavernae,2
Actinomyces oris,2
Corynebacterium lubricantis,2
Streptomyces sp. ISL-14,3
Mycobacterium sp. SWH-M5,3
Arthrobacter sp. QL17,3
Streptomyces sp. SID5998,3
Streptomyces caatingaensis,2
Streptomyces sp. CB02460,3
Nocardia gipuzkoensis,2
Streptomyces sp. 142MFCol3.1,3
Saccharomonospora saliphila,2
Brachybacterium sp. AG952,3
Nocardioides ferulae,2
Curtobacterium sp. 8I-2,3
Micromonospora sp. L5,3
Mycobacterium novum,2
Corynebacterium vitaeruminis,2
Nocardia cyriacigeorgica,2
Gordonia sp. X0973,3
Streptomyces sp. TLI_105,3
Blastococcus sp. TF02A-30,3
Gordonia crocea,2
Mycobacterium leprae,2
Corynebacterium sp. ACRPE,3
Streptomyces sioyaensis,2
Neomicrococcus lactis,2
Bifidobacterium sp. 7101,3
Schaalia odontolytica,2
Pseudonocardia sp. HH130630-07,3
Streptomyces sp. SID4946,3
Streptomyces ficellus,2
Corynebacterium hadale,2
Rathayibacter sp. VKM Ac-2801,4
Micromonospora sp. CV4,3
Streptomyces zinciresistens K42,3
Clavibacter michiganensis subsp. insidiosus,4
Streptomyces sp. WAC05374,3
Rathayibacter sp. AY1F9,3
Streptomyces sp. CoH27,3
Wangella sp. NEAU-J3,3
Mycobacterium sp. SMC-4,3
Frigoribacterium sp. CFBP 8754,4
Nocardia abscessus,2
Aestuariimicrobium kwangyangense,2
Mycobacterium dioxanotrophicus,2
Nocardiopsis quinghaiensis,2
Micromonospora fiedleri,2
Streptomyces sp. SID5464,3
Streptomyces genisteinicus,2
Mycolicibacter sinensis,2
Pilimelia anulata,2
Herbiconiux sp. CPCC 203386,4
Mycolicibacterium sp.,2
Streptomyces tailanensis,2
Kribbella sp. VKM Ac-2570,4
Micromonospora parathelypteridis,2
Angustibacter sp. Root456,3
Mycobacterium koreense,2
Nonomuraea sp.,2
Bifidobacteriaceae bacterium GH022,3
Glycomyces sp. A-F 0318,4
Cellulomonas marina,2
Mobiluncus porci,2
Streptomyces thermodiastaticus,2
Frigoribacterium sp. CFBP 13605,4
Fannyhessea vaginae PB189-T1-4,3
Microbacterium lindanitolerans,2
Nocardioides sp. zg-DK7169,3
Nocardioides aquaticus,2
Streptomyces lanatus,2
Agreia sp. Leaf283,3
Streptomyces sp. ADI95-16,3
Herbiconiux sp. SALV-R1,3
Leifsonia sp. Root112D2,3
Streptomyces abyssomicinicus,2
Streptacidiphilus neutrinimicus,2
Saccharopolyspora gregorii,2
Streptomyces sp. C1-2,3
Mycobacterium sp. PS03-16,3
Curtobacterium sp. MCBD17_035,3
Mycobacterium sp. MHSD3,3
Streptomyces sp. IMTB 1903,4
Dietzia cercidiphylli,2
Streptomyces sp. Isolate_219,3
Corynebacterium lactis,2
Mycolicibacterium setense,2
Brevibacterium sp. ACRRH,3
Nocardioides sp. ZJ1307,3
Streptomyces sp. HNM0575,3
Mycobacterium virginiense,2
Streptomyces sp. CB09001,3
Curtobacterium sp. ER1/6,3
Kocuria soli,2
Actinoplanes sp. M4I6,3
Ornithinimicrobium sp. JY.X270,3
Streptomyces coeruleorubidus,2
Streptomyces sp. F63,3
Leifsonia xyli,2
Nesterenkonia muleiensis,2
Sanguibacter hominis ATCC BAA-789,4
Streptomyces sp. NP160,3
Actinoplanes palleronii,2
Leifsonia sp. LS1,3
Streptomyces sp. RK31,3
Streptomyces sp. DHE7-1,3
Corynebacterium sp. LK25,3
Streptomyces alni,2
Rhodococcus xishaensis,2
Bifidobacterium colobi,2
Mycolicibacterium peregrinum,2
Salinibacterium hongtaonis,2
Mycobacterium sp. shizuoka-1,3
Brachybacterium timonense,2
Mycolicibacterium elephantis,2
Mycolicibacterium agri,2
Bifidobacteriaceae bacterium NR002,3
Williamsia marianensis,2
Brachybacterium sacelli,2
Herbiconiux sp. VKM Ac-2851,4
Hamadaea sp.,2
Streptomyces malaysiensis,2
Rhodococcus sp. KB6,3
Yinghuangia sp. ASG 101,4
Micrococcus sp. KRD012,3
Brevibacterium ravenspurgense,2
Candidatus Aquiluna sp. UB-MaderosW2red,4
Rhodococcus sp. I2R,3
Streptomyces sp. W1SF4,3
Streptomyces sp. Ru71,3
Streptomyces hainanensis,2
Actinomyces massiliensis,2
Arcanobacterium phocae,2
Modestobacter sp. Leaf380,3
Saccharopolyspora subtropica,2
Streptomyces sp. TRM72054,3
Microbacterium kyungheense,2
Rhodococcus sp. WY5,3
Agrococcus sp. HG114,3
Tessaracoccus sp. OS52,3
Nocardioides antri,2
Actinopolyspora mortivallis,2
Nocardioides sp. TF02-7,3
Nocardiopsis sp. TSRI0078,3
Promicromonospora citrea,2
Streptomyces sp. SID14436,3
Rhodoluna limnophila,2
Nocardioides sp. WS12,3
Schaalia sp. JY-X169,3
Skermania sp. ID1734,3
Propionibacterium australiense,2
Mycobacterium sp. ACS4331,3
Gordonia polyisoprenivorans,2
Modestobacter roseus,2
Mycetocola tolaasinivorans,2
Nocardioides plantarum,2
Streptomyces sp. Caat 7-52,4
Arthrobacter sulfonylureivorans,2
Actinomadura sp. OS3-83,3
Pseudonocardia asaccharolytica,2
Dactylosporangium sp. AC04546,3
Plantactinospora sp. KBS50,3
Kribbella italica,2
Streptomyces rhizosphaerihabitans,2
Mycobacterium sp.,2
Nocardiopsis potens,2
Streptomyces prasinopilosus,2
Arthrobacter sp. PAMC 25486,4
Ruania alba,2
Lentzea pudingi,2
Arthrobacter sp. H14,3
Mycolicibacterium rhodesiae,2
Cryobacterium sp. Sr8,3
Micrococcus sp. EYE_212,3
Rathayibacter sp. AY1C4,3
Mycobacterium mantenii,2
Mycolicibacter nonchromogenicus,2
Rhodococcus sp. BP-320,3
Arthrobacter sp. NIO-1057,3
Bifidobacterium magnum,2
Streptomyces yokosukanensis,2
Phytoactinopolyspora limicola,2
